rec_time	UTC	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Area	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Height	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Width	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Angle
00:00:01.967	1557996975986	191.325	102.727	166.122	124.893	446.324	26.617	21.35	0	0	0	0	0
00:00:01.984	1557996976003	191.627	102.719	166.244	123.853	424.419	25.046	21.576	0	0	0	0	0
00:00:02.001	1557996976020	111.531	87.001	166.786	124.482	440.692	27.826	20.165	0	0	0	0	0
00:00:02.017	1557996976036	193.001	102.497	167.67	123.81	475.831	28.616	21.172	0	0	0	0	0
00:00:02.034	1557996976053	191.047	102.298	167.977	124.577	464.577	27.284	21.68	0	0	0	0	0
00:00:02.051	1557996976070	185.292	101.556	164.057	123.099	387.332	24.381	20.228	0	0	0	0	0
00:00:02.067	1557996976086	177.363	100.85	155.122	122.292	433.591	28.784	19.179	0	0	0	0	0
00:00:02.084	1557996976103	173.904	100.902	149.082	122.203	503.1	29.511	21.706	0	0	0	0	0
00:00:02.101	1557996976120	174.716	100.93	149.461	122.818	496.857	29.363	21.545	0	0	0	0	0
00:00:02.117	1557996976136	176.141	100.785	150.986	122.25	504.351	29.266	21.943	0	0	0	0	0
00:00:02.134	1557996976153	178.771	100.513	153.637	122.453	526.002	30.294	22.108	0	0	0	0	0
00:00:02.151	1557996976170	180.294	100.787	155.329	122.076	538.36	30.93	22.162	0	0	0	0	0
00:00:02.167	1557996976186	181.902	101.18	157.031	122.745	542.067	29.961	23.036	0	0	0	0	0
00:00:02.184	1557996976203	183.557	100.951	159.03	122.335	547.705	30.452	22.901	0	0	0	0	0
00:00:02.201	1557996976220	184.898	100.714	159.898	122.698	528.654	29.581	22.754	0	0	0	0	0
00:00:02.217	1557996976236	185.998	100.628	160.583	121.772	491.052	28.065	22.278	0	0	0	0	0
00:00:02.234	1557996976253	187.514	100.894	162.819	122.745	503.779	29.296	21.894	0	0	0	0	0
00:00:02.251	1557996976270	188.763	101.083	163.78	122.334	512.379	28.369	22.996	0	0	0	0	0
00:00:02.267	1557996976286	165.219	122.555	165.219	122.555	508.867	28.678	22.593	0	0	0	0	0
00:00:02.284	1557996976303	159.602	124.091	159.602	124.091	518.362	28.807	22.911	0	0	0	0	0
00:00:02.301	1557996976320	150.951	127.925	150.951	127.925	555.177	28.696	24.633	0	0	0	0	0
00:00:02.317	1557996976336	148.213	129.216	148.213	129.216	652.044	32.426	25.603	0	0	0	0	0
00:00:02.334	1557996976353	149.918	129.855	149.918	129.855	644.315	31.752	25.837	0	0	0	0	0
00:00:02.351	1557996976370	151.372	128.793	151.372	128.793	649.201	32.099	25.751	0	0	0	0	0
00:00:02.367	1557996976386	152.943	129.081	152.943	129.081	652.803	32.672	25.44	0	0	0	0	0
00:00:02.384	1557996976403	154.413	128.375	154.413	128.375	661.688	32.439	25.972	0	0	0	0	0
00:00:02.401	1557996976420	155.358	128.62	155.358	128.62	660.753	32.421	25.949	0	0	0	0	0
00:00:02.417	1557996976436	155.939	127.816	155.939	127.816	648.436	33.297	24.796	0	0	0	0	0
00:00:02.434	1557996976453	157.165	127.791	157.165	127.791	633.8	32.51	24.822	0	0	0	0	0
00:00:02.451	1557996976470	157.333	127.936	157.333	127.936	680.218	32.213	26.886	0	0	0	0	0
00:00:02.467	1557996976486	158.105	127.359	158.105	127.359	597.406	31.468	24.172	0	0	0	0	0
00:00:02.484	1557996976503	159.223	127.064	159.223	127.064	591.632	30.024	25.089	0	0	0	0	0
00:00:02.501	1557996976520	0	0	0	0	0	0	0	0	0	0	0	0
00:00:02.517	1557996976536	0	0	0	0	0	0	0	0	0	0	0	0
00:00:02.534	1557996976553	0	0	0	0	0	0	0	0	0	0	0	0
00:00:02.551	1557996976570	0	0	0	0	0	0	0	0	0	0	0	0
00:00:02.567	1557996976586	0	0	0	0	0	0	0	0	0	0	0	0
00:00:02.584	1557996976603	55.27	53.427	0	0	0	0	0	0	0	0	0	0
00:00:02.601	1557996976620	155.318	129.947	155.318	129.947	592.77	33.489	22.537	0	0	0	0	0
00:00:02.617	1557996976636	155.986	127.88	155.986	127.88	673.031	33.505	25.576	0	0	0	0	0
00:00:02.634	1557996976653	156.4	127.956	156.4	127.956	688.765	33.677	26.04	0	0	0	0	0
00:00:02.651	1557996976670	156.138	128.125	156.138	128.125	657.724	33.479	25.014	0	0	0	0	0
00:00:02.667	1557996976686	156.532	128.352	156.532	128.352	706.512	33.546	26.816	0	0	0	0	0
00:00:02.684	1557996976703	157.116	127.121	157.116	127.121	673.843	33.736	25.432	0	0	0	0	0
00:00:02.701	1557996976720	157.94	127.485	157.94	127.485	650.866	32.144	25.781	0	0	0	0	0
00:00:02.717	1557996976736	158.174	127.123	158.174	127.123	700.428	31.931	27.929	0	0	0	0	0
00:00:02.734	1557996976753	158.493	128.204	158.493	128.204	693.115	32.245	27.368	0	0	0	0	0
00:00:02.751	1557996976770	106.249	86.261	159.179	126.875	689.239	33.111	26.504	0	0	0	0	0
00:00:02.767	1557996976786	159.488	127.38	159.488	127.38	674.682	33.414	25.709	0	0	0	0	0
00:00:02.784	1557996976803	156.39	128.112	156.39	128.112	651.466	31.566	26.277	0	0	0	0	0
00:00:02.801	1557996976820	155.643	131.645	155.643	131.645	763.123	34.596	28.085	0	0	0	0	0
00:00:02.817	1557996976836	105.849	91.296	155.905	131.954	706.81	31.727	28.365	0	0	0	0	0
00:00:02.834	1557996976853	157.827	131.181	157.827	131.181	687.289	32.394	27.014	0	0	0	0	0
00:00:02.851	1557996976870	158.733	129.62	158.733	129.62	648.692	32.945	25.07	0	0	0	0	0
00:00:02.867	1557996976886	159.051	128.922	159.051	128.922	625.672	33.513	23.771	0	0	0	0	0
00:00:02.884	1557996976903	160.347	130.363	160.347	130.363	723.65	31.957	28.832	0	0	0	0	0
00:00:02.901	1557996976920	161.279	128.884	161.279	128.884	682.182	33	26.321	0	0	0	0	0
00:00:02.917	1557996976936	161.906	127.652	161.906	127.652	666.624	34.329	24.724	0	0	0	0	0
00:00:02.934	1557996976953	161.948	128.567	161.948	128.567	663.399	33.175	25.461	0	0	0	0	0
00:00:02.951	1557996976970	162.532	128.186	162.532	128.186	682.398	30.544	28.446	0	0	0	0	0
00:00:02.967	1557996976986	163.808	127.879	163.808	127.879	683.712	33.363	26.093	0	0	0	0	0
00:00:02.984	1557996977003	163.266	126.449	163.266	126.449	689.3	34.369	25.536	0	0	0	0	0
00:00:03.001	1557996977020	163.876	125.31	163.876	125.31	605.523	32.084	24.03	0	0	0	0	0
00:00:03.017	1557996977036	163.27	125.352	163.27	125.352	670.927	33.972	25.146	0	0	0	0	0
00:00:03.034	1557996977053	162.755	128.671	162.755	128.671	585.464	30.568	24.386	0	0	0	0	0
00:00:03.051	1557996977070	167.793	128.461	167.793	128.461	565.252	30.516	23.584	0	0	0	0	0
00:00:03.067	1557996977086	173.982	129.36	173.982	129.36	563.053	33.257	21.556	0	0	0	0	0
00:00:03.084	1557996977103	260.879	163.078	260.879	163.078	456.306	30.88	18.814	0	0	0	0	0
00:00:03.101	1557996977120	176.354	130.213	176.354	130.213	591.227	31.433	23.949	0	0	0	0	0
00:00:03.117	1557996977136	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.134	1557996977153	174.217	130.131	174.217	130.131	467.39	26.507	22.451	0	0	0	0	0
00:00:03.151	1557996977170	175.3	129.059	175.3	129.059	532.858	32.454	20.905	0	0	0	0	0
00:00:03.167	1557996977186	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.184	1557996977203	171.119	128.009	171.119	128.009	335.379	22.681	18.827	0	0	0	0	0
00:00:03.201	1557996977220	170.591	128.505	170.591	128.505	348.96	26.714	16.632	0	0	0	0	0
00:00:03.217	1557996977236	176.644	128.844	176.644	128.844	629.48	34.276	23.383	0	0	0	0	0
00:00:03.234	1557996977253	176.055	128.58	176.055	128.58	623.827	34.539	22.997	0	0	0	0	0
00:00:03.251	1557996977270	174.578	127.95	174.578	127.95	623.528	34.992	22.688	0	0	0	0	0
00:00:03.267	1557996977286	175.12	129.455	175.12	129.455	649.827	36.739	22.521	0	0	0	0	0
00:00:03.284	1557996977303	173.667	127.976	173.667	127.976	611.452	35.237	22.094	0	0	0	0	0
00:00:03.301	1557996977320	173.742	128.97	173.742	128.97	682.728	33.767	25.744	0	0	0	0	0
00:00:03.317	1557996977336	172.307	128.567	172.307	128.567	698.327	36.188	24.57	0	0	0	0	0
00:00:03.334	1557996977353	171.532	127.991	171.532	127.991	660.869	34.484	24.401	0	0	0	0	0
00:00:03.351	1557996977370	195.769	104.507	170.636	126.195	623.1	34.697	22.865	0	0	0	0	0
00:00:03.367	1557996977386	169.982	126.687	169.982	126.687	620.375	34.577	22.844	0	0	0	0	0
00:00:03.384	1557996977403	169.381	126.574	169.381	126.574	674.591	34.025	25.244	0	0	0	0	0
00:00:03.401	1557996977420	261.546	161.253	261.546	161.253	414.42	26.609	19.83	0	0	0	0	0
00:00:03.417	1557996977436	164.933	124.18	164.933	124.18	371.754	26.819	17.649	0	0	0	0	0
00:00:03.434	1557996977453	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.451	1557996977470	0	0	0	0	0	0	0	0	0	0	0	0
00:00:03.467	1557996977486	169.263	129.702	169.263	129.702	608.266	32.067	24.151	0	0	0	0	0
00:00:03.484	1557996977503	169.083	129.389	169.083	129.389	655.369	34.587	24.126	0	0	0	0	0
00:00:03.501	1557996977520	168.019	128.637	168.019	128.637	642.407	34.331	23.825	0	0	0	0	0
00:00:03.517	1557996977536	110.576	87.341	167.038	128.054	671.524	35.829	23.864	0	0	0	0	0
00:00:03.534	1557996977553	167.4	128.548	167.4	128.548	659.704	35.833	23.441	0	0	0	0	0
00:00:03.551	1557996977570	167.116	127.255	167.116	127.255	689.662	34.215	25.664	0	0	0	0	0
00:00:03.567	1557996977586	165.583	128.029	165.583	128.029	644.168	31.473	26.06	0	0	0	0	0
00:00:03.584	1557996977603	166.256	126.926	166.256	126.926	711.812	35.95	25.21	0	0	0	0	0
00:00:03.601	1557996977620	166.037	126.933	166.037	126.933	680.844	35.447	24.456	0	0	0	0	0
00:00:03.617	1557996977636	165.468	127.306	165.468	127.306	714.205	34.705	26.202	0	0	0	0	0
00:00:03.634	1557996977653	165.773	127.305	165.773	127.305	707.612	34.894	25.82	0	0	0	0	0
